    0	-623.3914618290
    1	-625.2416019042
    2	-626.9807854162
    3	-628.5494654316
    4	-629.9756465596
    5	-631.0003544737
    6	-632.3476962588
    7	-634.0837487953
    8	-636.0495904716
    9	-636.9830842886
   10	-639.8397201675
   11	-641.5816360447
   12	-642.1763252658
   13	-643.7268382414
   14	-645.9875151487
   15	-648.3701370689
   16	-649.8438690553
   17	-653.5789238431
   18	-656.8141390743
   19	-658.6104228655
   20	-661.6916569390
   21	-663.2832183892
   22	-664.7361213650
   23	-666.5817944329
   24	-667.2972782856
   25	-669.2684567905
   26	-672.2928074717
   27	-678.6554521616
   28	-680.8022214595
   29	-682.3387017311
   30	-685.4067328657
   31	-687.2226384669
   32	-687.9436138571
   33	-688.9249386510
   34	-693.1577750655
   35	-697.9870262310
   36	-699.8741989676
   37	-700.2767633770
   38	-702.7379639290
   39	-703.6436505047
   40	-708.2489412455
   41	-712.3066569077
   42	-713.3943241824
   43	-717.6086643083
   44	-721.9251894354
   45	-723.4180100956
   46	-725.7409611993
   47	-733.2934747144
   48	-735.9158248318
   49	-735.3621268859
   50	-739.2304039517
   51	-742.1401495052
   52	-755.0044390327
   53	-760.6223474925
   54	-764.0919848303
   55	-767.9178627734
   56	-772.9861393052
   57	-772.9861393052
   58	-770.3112450893
   59	-769.8590822581
   60	-768.3519144120
   61	-769.2706719780
   62	-768.9148693645
   63	-772.6902054254
   64	-772.3755535920
   65	-772.4177689477
   66	-772.7342048025
   67	-770.5294524412
   68	-768.9181790611
   69	-769.1045866145
   70	-771.0488184081
   71	-768.6157147769
   72	-770.5233115294
   73	-777.2126112040
   74	-778.2985109336
   75	-778.6535556406
   76	-777.5996297596
   77	-782.2587601192
   78	-786.5176225149
   79	-786.8724099905
   80	-788.3326411226
   81	-789.2277450378
   82	-787.0879590312
   83	-795.0420446797
   84	-809.4425302225
   85	-807.4913644238
   86	-806.8386846165
   87	-808.1017624434
   88	-827.7063589247
   89	-825.8510261642
   90	-830.6657447105
   91	-833.8289741598
   92	-836.8192016218
   93	-830.5405685919
   94	-830.1063843991
   95	-835.0177877232
   96	-834.7840298676
   97	-838.0972397331
   98	-827.0569267595
   99	-833.5609750192
  100	-841.0213490919
